tcp-traceroute from 58.65.173.14 to 95.216.247.80
14  200.49.95.73  423.917 ms ICMP
15  190.220.57.135  418.377 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 81.19.86.3
 1  58.65.173.13  0.483 ms ICMP
 2  172.16.36.130  0.758 ms ICMP
 3  58.65.165.42  0.903 ms ICMP
 4  203.135.5.69  1.121 ms ICMP
 5  *
 6  *
 7  79.104.225.57  186.846 ms ICMP
 8  62.105.129.218  233.354 ms ICMP
 9  81.19.64.83  234.357 ms ICMP
10  *
11  *
12  81.19.86.3  235.179 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.20.2.51
 1  58.65.173.13  0.387 ms ICMP
 2  172.16.36.130  0.939 ms ICMP
 3  58.65.165.42  0.977 ms ICMP
 4  119.63.136.181  0.838 ms ICMP
 5  110.93.252.99  20.463 ms ICMP
 6  110.93.252.190  19.802 ms ICMP
 7  110.93.192.198  19.329 ms ICMP
 8  104.20.2.51  19.812 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 76.76.21.21
 1  58.65.173.13  0.450 ms ICMP
 2  172.16.36.130  1.028 ms ICMP
 3  58.65.165.42  1.026 ms ICMP
 4  203.135.5.69  1.060 ms ICMP
 5  *
 6  99.82.180.224  38.862 ms ICMP
 7  52.93.69.24  39.824 ms ICMP
 8  76.76.21.21  36.972 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 31.216.147.130
 1  *
 2  172.16.36.134  1.011 ms ICMP
 3  58.65.165.42  0.862 ms ICMP
 4  203.135.5.69  0.989 ms ICMP
 5  *
 6  149.14.126.177  114.805 ms ICMP
 7  130.117.50.165  124.808 ms ICMP
 8  154.54.78.98  143.615 ms ICMP
 9  154.25.12.70  140.802 ms ICMP
10  149.6.66.198  140.208 ms ICMP
11  31.216.147.130  142.563 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.18.12.167
 1  58.65.173.13  0.355 ms ICMP
 2  172.16.36.130  0.920 ms ICMP
 3  58.65.165.42  0.866 ms ICMP
 4  119.63.136.181  0.683 ms ICMP
 5  110.93.252.99  21.289 ms ICMP
 6  110.93.252.190  19.644 ms ICMP
 7  110.93.192.198  19.284 ms ICMP
 8  104.18.12.167  18.752 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 129.237.11.76
 1  *
 2  172.16.36.134  1.091 ms ICMP
 3  58.65.165.42  1.087 ms ICMP
 4  119.63.136.181  0.826 ms ICMP
 5  110.93.252.99  19.554 ms ICMP
 6  110.93.252.198  20.237 ms ICMP
 7  27.111.228.81  101.152 ms ICMP
 8  184.105.64.254  166.108 ms ICMP
 9  184.105.213.117  247.814 ms ICMP
10  184.104.193.185  279.129 ms ICMP
11  184.105.64.50  291.439 ms ICMP
12  184.105.213.33  290.129 ms ICMP
13  184.105.253.142  274.024 ms ICMP
14  164.113.193.113  274.020 ms ICMP
15  *
16  129.237.2.142  303.699 ms ICMP
17  *
18  129.237.13.20  275.784 ms ICMP
19  *
20  129.237.11.76  275.565 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.109.84.214
 1  58.65.173.13  0.302 ms ICMP
 2  172.16.36.130  1.270 ms ICMP
 3  58.65.165.42  0.882 ms ICMP
 4  203.135.5.69  1.030 ms ICMP
 5  *
 6  80.81.192.28  137.873 ms ICMP
 7  104.109.84.214  137.476 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 125.209.222.141
 1  *
 2  172.16.36.134  0.970 ms ICMP
 3  58.65.165.42  0.902 ms ICMP
 4  119.63.136.181  0.681 ms ICMP
 5  110.93.255.226  20.214 ms ICMP
 6  110.93.252.172  19.798 ms ICMP
 7  27.111.228.165  101.557 ms ICMP
 8  *
 9  *
10  *
11  *
12  125.209.222.141  173.021 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.26.10.239
 1  *
 2  172.16.36.134  1.071 ms ICMP
 3  58.65.165.42  0.800 ms ICMP
 4  119.63.136.181  0.862 ms ICMP
 5  110.93.255.226  20.138 ms ICMP
 6  110.93.255.168  20.189 ms ICMP
 7  110.93.192.198  20.305 ms ICMP
 8  104.26.10.239  19.585 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.18.188.55
 1  *
 2  172.16.36.134  1.166 ms ICMP
 3  58.65.165.42  1.059 ms ICMP
 4  203.135.5.69  0.992 ms ICMP
 5  *
 6  185.1.15.41  41.562 ms ICMP
 7  104.18.188.55  41.400 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 85.17.165.40
 1  *
 2  172.16.36.134  0.978 ms ICMP
 3  58.65.165.42  0.938 ms ICMP
 4  203.135.5.69  0.967 ms ICMP
 5  *
 6  80.81.193.246  141.670 ms ICMP
 7  31.31.34.214  140.915 ms ICMP
 8  31.31.34.52  153.243 ms ICMP
 9  31.31.38.229  145.022 ms ICMP
10  81.17.33.107  144.482 ms ICMP
11  85.17.165.40  150.111 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 8.20.73.150
 1  *
 2  172.16.36.134  1.130 ms ICMP
 3  58.65.165.42  1.160 ms ICMP
 4  119.63.136.181  2.732 ms ICMP
 5  110.93.252.99  19.422 ms ICMP
 6  110.93.252.190  22.918 ms ICMP
 7  213.144.176.232  119.968 ms ICMP
 8  *
 9  4.69.217.198  242.664 ms ICMP
10  4.59.141.110  219.015 ms ICMP
11  8.20.73.150  217.970 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 13.35.183.58
 1  58.65.173.13  0.441 ms ICMP
 2  172.16.36.130  0.961 ms ICMP
 3  58.65.165.42  1.010 ms ICMP
 4  203.135.5.69  0.989 ms ICMP
 5  *
 6  99.82.180.224  44.741 ms ICMP
 7  52.93.69.88  40.145 ms ICMP
 8  52.93.69.193  37.842 ms ICMP
 9  *
10  *
11  *
12  *
13  *
14  13.35.183.58  37.889 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 23.1.71.125
 1  58.65.173.13  0.608 ms ICMP
 2  172.16.36.130  0.840 ms ICMP
 3  58.65.165.42  0.915 ms ICMP
 4  203.135.5.69  1.029 ms ICMP
 5  *
 6  212.73.201.229  130.290 ms ICMP
 7  4.69.162.221  138.314 ms ICMP
 8  213.242.65.6  140.005 ms ICMP
 9  23.210.57.40  222.932 ms ICMP
10  23.197.65.37  239.011 ms ICMP
11  *
12  23.1.71.125  148.122 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 5.63.154.38
 1  58.65.173.13  0.463 ms ICMP
 2  172.16.36.130  1.026 ms ICMP
 3  58.65.165.42  1.140 ms ICMP
 4  203.135.5.69  1.143 ms ICMP
 5  *
